"TOPOGRAPHY","ICE_BASE","Dist","model_bed"
30.5011,NA,22552.1072326267,-356.6385802
29.0116,NA,22622.368581142,-353.8794531
26.7399,NA,22692.6400390958,-351.120326
35.483,NA,22762.8980214235,-348.571050333333
29.3077,NA,22833.1415044367,-346.021774666667
29.0873,NA,22903.3796485849,-343.472499
25.8227,NA,22973.605201752,-340.923223333333
27.1277,NA,23043.8134101114,-338.373947666667
25.6351,NA,23114.0079775065,-335.824672
46.7323,NA,23184.1788094827,-333.275396333333
50.3796,NA,23254.3412236909,-330.726120666667
52.4697,NA,23324.4808549918,-328.176845
42.5438,NA,23394.6088272686,-325.613115222222
26.0455,NA,23464.7167260689,-323.049385444444
26.6569,NA,23534.8168553792,-320.485655666667
28.1099,NA,23604.8889262415,-317.921925888889
28.4402,NA,23674.9372835132,-315.358196111111
27.5622,NA,23744.9653920554,-312.794466333333
26.8195,NA,23814.9694060152,-310.230736555556
28.727,NA,23884.9376115984,-307.667006777778
28.0548,NA,23954.8822023031,-305.103277
31.954,NA,24024.7962692659,-302.1349079
31.0015,NA,24094.6789578065,-299.1665388
31.1217,NA,24164.5243945107,-296.1981697
49.0274,NA,24234.3224892616,-293.2298006
57.938,NA,24304.0798412796,-290.2614315
49.8244,NA,24373.7826415054,-287.2930624
42.7780999999999,NA,24443.4360674256,-284.3246933
37.7481,NA,24513.0291443912,-281.3563242
33.9886,NA,24582.5703604173,-278.3879551
29.0932000000001,NA,24652.0457985899,-275.419586
27.0032,NA,24721.4644091947,-272.586680333333
25.8425999999999,NA,24790.8221283084,-269.753774666667
25.1725,NA,24860.1253723256,-266.920869
24.7929,NA,24929.3565145816,-264.087963333333
24.4053,NA,24998.5270646361,-261.255057666667
24.7505,NA,25067.6279748996,-258.422152
26.4912,NA,25136.6670946802,-255.589246333333
28.362,NA,25205.6245282682,-252.756340666667
32.9595,NA,25274.5273501008,-249.923435
33.1058,NA,25343.3477621981,-249.004962222222
33.8181,NA,25412.097472832,-248.086489444444
31.2088,NA,25480.7948789365,-247.168016666667
31.525,NA,25549.4171853567,-246.249543888889
34.3209,NA,25617.9928672938,-245.331071111111
29.7824,NA,25686.5192714333,-244.412598333333
26.7417,NA,25755.0052080738,-243.494125555556
30.4842,NA,25823.4474978128,-242.575652777778
36.9931,NA,25891.8526679387,-241.65718
31.9094,NA,25960.2232745574,-242.158519
38.2933,NA,26028.5535685888,-242.659858
32.5681,NA,26096.8250984159,-243.161197
63.6503,NA,26165.0653116066,-243.662536
73.7177,NA,26233.2500509531,-244.163875
71.6303,NA,26301.4002682198,-244.665214
83.5031,NA,26369.4940702426,-245.166553
80.306,NA,26437.5500506488,-245.667892
102.2299,NA,26505.5787975285,-246.169231
103.1702,NA,26573.5675875048,-246.67057
110.4918,NA,26641.5384035204,-245.571159875
131.2292,NA,26709.4812281431,-244.47174975
130.0169,NA,26777.4203897492,-243.372339625
135.9319,NA,26845.3435648476,-242.2729295
138.7669,NA,26913.2332545541,-241.173519375
145.7987,NA,26981.0792244801,-240.07410925
151.2792,NA,27048.849115056,-238.974699125
158.3454,NA,27116.4938760212,-237.875289
157.1035,NA,27183.9885412867,-235.743471615385
166.619,NA,27251.3397328927,-233.611654230769
169.4918,NA,27318.523521481,-231.479836846154
172.92,NA,27385.5558565743,-229.348019461538
177.3345,NA,27452.4269410372,-227.216202076923
176.9718,NA,27519.1619785619,-225.084384692308
179.0269,NA,27585.7626862711,-222.952567307692
183.3497,NA,27652.2500890897,-220.820749923077
186.0333,NA,27718.6306594175,-218.688932538462
186.3716,NA,27784.9125923115,-216.557115153846
190.318,NA,27851.0939098871,-214.425297769231
195.7667,NA,27917.1992987653,-212.293480384615
196.8641,NA,27983.2269752325,-210.161663
198.8329,NA,28049.2201196098,-204.099307375
200.1316,NA,28115.1627064706,-198.03695175
200.829,NA,28181.1152714954,-191.974596125
200.4256,NA,28247.0807755707,-185.9122405
198.2442,NA,28313.0870156127,-179.849884875
197.9029,NA,28379.1478631653,-173.78752925
195.4114,NA,28445.2915309336,-167.725173625
192.2824,NA,28511.5081163906,-161.662818
187.1318,NA,28577.8079599227,-156.680830625
182.4961,NA,28644.1773834493,-151.69884325
177.8526,NA,28710.6285314422,-146.716855875
